id,mun_ibge6,mun_ibge7,mun_municipio,mun_codreg,mun_regional,mun_codmac,mun_macroreg,features_geometry_coordinatesp,mun_longitude,mun_latitude
176,211080,2110807,São Félix de Balsas,21003,Balsas,2103,Sul,"[-44.81338,-7.08348]",-44.8133,-7.0834
177,211085,2110856,São Francisco do Brejão,21001,Açailândia,2103,Sul,"[-47.38639,-5.12347]",-47.3863,-5.1234
178,211090,2110906,São Francisco do Maranhão,21017,Timon,2102,Leste,"[-42.85736,-6.25148]",-42.8573,-6.2514
179,211100,2111003,São João Batista,21018,Viana,2101,Norte,"[-44.80737,-2.95545]",-44.8073,-2.9554
180,211102,2111029,São João do Carú,21014,Santa Inês,2101,Norte,"[-46.25638,-3.55446]",-46.2563,-3.5544
181,211105,2111052,São João do Paraíso,21008,Imperatriz,2103,Sul,"[-47.05839,-6.46147]",-47.0583,-6.4614
182,211107,2111078,São João do Soter,21005,Caxias,2101,Leste,"[-43.81037,-5.11447]",-43.8103,-5.1144
183,211110,2111102,São João dos Patos,21015,São João dos Patos,2103,Leste,"[-43.70237,-6.49548]",-43.7023,-6.4954
184,211120,2111201,São José de Ribamar,21016,São Luís,2101,Norte,"[-44.05437,-2.56245]",-44.0543,-2.5624
185,211125,2111250,São José dos Basílios,21012,Presidente Dutra,2102,Leste,"[-44.58437,-5.05147]",-44.5843,-5.0514
186,211130,2111300,São Luís,21016,São Luís,2101,Norte,"[-44.30278,-2.52972]",-44.3027,-2.5297
187,211140,2111409,São Luís Gonzaga do Maranhão,21002,Bacabal,2101,Norte,"[-44.67037,-4.38046]",-44.6703,-4.3804
188,211150,2111508,São Mateus do Maranhão,21007,Codó,2102,Leste,"[-44.47037,-4.04046]",-44.4703,-4.0404
189,211153,2111532,São Pedro da Água Branca,21001,Açailândia,2103,Sul,"[-48.4294,-5.08547]",-48.4294,5..0854
190,211157,2111573,São Pedro dos Crentes,21003,Balsas,2103,Sul,"[-46.53239,-6.82648]",-46.5323,-6.8264
191,211160,2111607,São Raimundo das Mangabeiras,21003,Balsas,2103,Sul,"[-45.48138,-7.02248]",-45.4813,-7.0224
192,211163,2111631,São Raimundo do Doca Bezerra,21010,Pedreiras,2102,Leste,"[-45.07738,-5.10547]",-45.0773,-5.1054
193,211167,2111672,São Roberto,21010,Pedreiras,2102,Leste,"[-44.99138,-5.02147]",-44.9913,-5.0214
194,211170,2111706,São Vicente Ferrer,21018,Viana,2101,Norte,"[-44.88037,-2.89445]",-44.8803,-2.8944
195,211172,2111722,Satubinha,21014,Santa Inês,2101,Norte,"[-45.23838,-4.03946]",-45.2383,-4.0394
196,211174,2111748,Senador Alexandre Costa,21012,Presidente Dutra,2102,Leste,"[-44.05637,-5.25647]",-44.0563,-5.2564
197,211176,2111763,Senador La Rocque,21008,Imperatriz,2103,Sul,"[-47.29139,-5.44347]",-47.2913,-5.4434
198,211178,2111789,Serrano do Maranhão,21011,Pinheiro,2101,Norte,"[-45.12338,-1.85645]",-45.1233,-1.8564
199,211180,2111805,Sítio Novo,21008,Imperatriz,2103,Sul,"[-46.69939,-5.87847]",-46.6993,-5.8784
